id,sex,age,social_class,survived
0,1,22.0,3.0,no
1,0,38.0,1.0,yes
2,0,26.0,3.0,yes
3,0,35.0,1.0,yes
4,1,35.0,3.0,no
5,1,29.69911764705882,3.0,no
6,1,54.0,1.0,no
7,1,2.0,3.0,no
8,0,27.0,3.0,yes
9,0,14.0,2.0,yes
10,0,4.0,3.0,yes
11,0,58.0,1.0,yes
12,1,20.0,3.0,no
13,1,39.0,3.0,no
14,0,14.0,3.0,no
15,0,55.0,2.0,yes
16,1,2.0,3.0,no
17,1,29.69911764705882,2.0,yes
18,0,31.0,3.0,no
19,0,29.69911764705882,3.0,yes
20,1,35.0,2.0,no
21,1,34.0,2.0,yes
22,0,15.0,3.0,yes
23,1,28.0,1.0,yes
24,0,8.0,3.0,no
25,0,38.0,3.0,yes
26,1,29.69911764705882,3.0,no
27,1,19.0,1.0,no
28,0,29.69911764705882,3.0,yes
29,1,29.69911764705882,3.0,no
30,1,40.0,1.0,no
31,0,29.69911764705882,1.0,yes
32,0,29.69911764705882,3.0,yes
33,1,66.0,2.0,no
34,1,28.0,1.0,no
35,1,42.0,1.0,no
36,1,29.69911764705882,3.0,yes
37,1,21.0,3.0,no
38,0,18.0,3.0,no
39,0,14.0,3.0,yes
40,0,40.0,3.0,no
41,0,27.0,2.0,no
42,1,29.69911764705882,3.0,no
43,0,3.0,2.0,yes
44,0,19.0,3.0,yes
45,1,29.69911764705882,3.0,no
46,1,29.69911764705882,3.0,no
47,0,29.69911764705882,3.0,yes
48,1,29.69911764705882,3.0,no
49,0,18.0,3.0,no
50,1,7.0,3.0,no
51,1,21.0,3.0,no
52,0,49.0,1.0,yes
53,0,29.0,2.0,yes
54,1,65.0,1.0,no
55,1,29.69911764705882,1.0,yes
56,0,21.0,2.0,yes
57,1,28.5,3.0,no
58,0,5.0,2.0,yes
59,1,11.0,3.0,no
60,1,22.0,3.0,no
61,0,38.0,1.0,yes
62,1,45.0,1.0,no
63,1,4.0,3.0,no
64,1,29.69911764705882,1.0,no
65,1,29.69911764705882,3.0,yes
66,0,29.0,2.0,yes
67,1,19.0,3.0,no
68,0,17.0,3.0,yes
69,1,26.0,3.0,no
70,1,32.0,2.0,no
71,0,16.0,3.0,no
72,1,21.0,2.0,no
73,1,26.0,3.0,no
74,1,32.0,3.0,yes
75,1,25.0,3.0,no
76,1,29.69911764705882,3.0,no
77,1,29.69911764705882,3.0,no
78,1,0.83,2.0,yes
79,0,30.0,3.0,yes
80,1,22.0,3.0,no
81,1,29.0,3.0,yes
82,0,29.69911764705882,3.0,yes
83,1,28.0,1.0,no
84,0,17.0,2.0,yes
85,0,33.0,3.0,yes
86,1,16.0,3.0,no
87,1,29.69911764705882,3.0,no
88,0,23.0,1.0,yes
89,1,24.0,3.0,no
90,1,29.0,3.0,no
91,1,20.0,3.0,no
92,1,46.0,1.0,no
93,1,26.0,3.0,no
94,1,59.0,3.0,no
95,1,29.69911764705882,3.0,no
96,1,71.0,1.0,no
97,1,23.0,1.0,yes
98,0,34.0,2.0,yes
99,1,34.0,2.0,no
100,0,28.0,3.0,no
101,1,29.69911764705882,3.0,no
102,1,21.0,1.0,no
103,1,33.0,3.0,no
104,1,37.0,3.0,no
105,1,28.0,3.0,no
106,0,21.0,3.0,yes
107,1,29.69911764705882,3.0,yes
108,1,38.0,3.0,no
109,0,29.69911764705882,3.0,yes
110,1,47.0,1.0,no
111,0,14.5,3.0,no
112,1,22.0,3.0,no
113,0,20.0,3.0,no
114,0,17.0,3.0,no
115,1,21.0,3.0,no
116,1,70.5,3.0,no
117,1,29.0,2.0,no
118,1,24.0,1.0,no
119,0,2.0,3.0,no
120,1,21.0,2.0,no
121,1,29.69911764705882,3.0,no
122,1,32.5,2.0,no
123,0,32.5,2.0,yes
124,1,54.0,1.0,no
125,1,12.0,3.0,yes
126,1,29.69911764705882,3.0,no
127,1,24.0,3.0,yes
128,0,29.69911764705882,3.0,yes
129,1,45.0,3.0,no
130,1,33.0,3.0,no
131,1,20.0,3.0,no
132,0,47.0,3.0,no
133,0,29.0,2.0,yes
134,1,25.0,2.0,no
135,1,23.0,2.0,no
136,0,19.0,1.0,yes
137,1,37.0,1.0,no
138,1,16.0,3.0,no
139,1,24.0,1.0,no
140,0,29.69911764705882,3.0,no
141,0,22.0,3.0,yes
142,0,24.0,3.0,yes
143,1,19.0,3.0,no
144,1,18.0,2.0,no
145,1,19.0,2.0,no
146,1,27.0,3.0,yes
147,0,9.0,3.0,no
148,1,36.5,2.0,no
149,1,42.0,2.0,no
150,1,51.0,2.0,no
151,0,22.0,1.0,yes
152,1,55.5,3.0,no
153,1,40.5,3.0,no
154,1,29.69911764705882,3.0,no
155,1,51.0,1.0,no
156,0,16.0,3.0,yes
157,1,30.0,3.0,no
158,1,29.69911764705882,3.0,no
159,1,29.69911764705882,3.0,no
160,1,44.0,3.0,no
161,0,40.0,2.0,yes
162,1,26.0,3.0,no
163,1,17.0,3.0,no
164,1,1.0,3.0,no
165,1,9.0,3.0,yes
166,0,29.69911764705882,1.0,yes
167,0,45.0,3.0,no
168,1,29.69911764705882,1.0,no
169,1,28.0,3.0,no
170,1,61.0,1.0,no
171,1,4.0,3.0,no
172,0,1.0,3.0,yes
173,1,21.0,3.0,no
174,1,56.0,1.0,no
175,1,18.0,3.0,no
176,1,29.69911764705882,3.0,no
177,0,50.0,1.0,no
178,1,30.0,2.0,no
179,1,36.0,3.0,no
180,0,29.69911764705882,3.0,no
181,1,29.69911764705882,2.0,no
182,1,9.0,3.0,no
183,1,1.0,2.0,yes
184,0,4.0,3.0,yes
185,1,29.69911764705882,1.0,no
186,0,29.69911764705882,3.0,yes
187,1,45.0,1.0,yes
188,1,40.0,3.0,no
189,1,36.0,3.0,no
190,0,32.0,2.0,yes
191,1,19.0,2.0,no
192,0,19.0,3.0,yes
193,1,3.0,2.0,yes
194,0,44.0,1.0,yes
195,0,58.0,1.0,yes
196,1,29.69911764705882,3.0,no
197,1,42.0,3.0,no
198,0,29.69911764705882,3.0,yes
199,0,24.0,2.0,no
200,1,28.0,3.0,no
201,1,29.69911764705882,3.0,no
202,1,34.0,3.0,no
203,1,45.5,3.0,no
204,1,18.0,3.0,yes
205,0,2.0,3.0,no
206,1,32.0,3.0,no
207,1,26.0,3.0,yes
208,0,16.0,3.0,yes
209,1,40.0,1.0,yes
210,1,24.0,3.0,no
211,0,35.0,2.0,yes
212,1,22.0,3.0,no
213,1,30.0,2.0,no
214,1,29.69911764705882,3.0,no
215,0,31.0,1.0,yes
216,0,27.0,3.0,yes
217,1,42.0,2.0,no
218,0,32.0,1.0,yes
219,1,30.0,2.0,no
220,1,16.0,3.0,yes
221,1,27.0,2.0,no
222,1,51.0,3.0,no
223,1,29.69911764705882,3.0,no
224,1,38.0,1.0,yes
225,1,22.0,3.0,no
226,1,19.0,2.0,yes
227,1,20.5,3.0,no
228,1,18.0,2.0,no
229,0,29.69911764705882,3.0,no
230,0,35.0,1.0,yes
231,1,29.0,3.0,no
232,1,59.0,2.0,no
233,0,5.0,3.0,yes
234,1,24.0,2.0,no
235,0,29.69911764705882,3.0,no
236,1,44.0,2.0,no
237,0,8.0,2.0,yes
238,1,19.0,2.0,no
239,1,33.0,2.0,no
240,0,29.69911764705882,3.0,no
241,0,29.69911764705882,3.0,yes
242,1,29.0,2.0,no
243,1,22.0,3.0,no
244,1,30.0,3.0,no
245,1,44.0,1.0,no
246,0,25.0,3.0,no
247,0,24.0,2.0,yes
248,1,37.0,1.0,yes
249,1,54.0,2.0,no
250,1,29.69911764705882,3.0,no
251,0,29.0,3.0,no
252,1,62.0,1.0,no
253,1,30.0,3.0,no
254,0,41.0,3.0,no
255,0,29.0,3.0,yes
256,0,29.69911764705882,1.0,yes
257,0,30.0,1.0,yes
258,0,35.0,1.0,yes
259,0,50.0,2.0,yes
260,1,29.69911764705882,3.0,no
261,1,3.0,3.0,yes
262,1,52.0,1.0,no
263,1,40.0,1.0,no
264,0,29.69911764705882,3.0,no
265,1,36.0,2.0,no
266,1,16.0,3.0,no
267,1,25.0,3.0,yes
268,0,58.0,1.0,yes
269,0,35.0,1.0,yes
270,1,29.69911764705882,1.0,no
271,1,25.0,3.0,yes
272,0,41.0,2.0,yes
273,1,37.0,1.0,no
274,0,29.69911764705882,3.0,yes
275,0,63.0,1.0,yes
276,0,45.0,3.0,no
277,1,29.69911764705882,2.0,no
278,1,7.0,3.0,no
279,0,35.0,3.0,yes
280,1,65.0,3.0,no
281,1,28.0,3.0,no
282,1,16.0,3.0,no
283,1,19.0,3.0,yes
284,1,29.69911764705882,1.0,no
285,1,33.0,3.0,no
286,1,30.0,3.0,yes
287,1,22.0,3.0,no
288,1,42.0,2.0,yes
289,0,22.0,3.0,yes
290,0,26.0,1.0,yes
291,0,19.0,1.0,yes
292,1,36.0,2.0,no
293,0,24.0,3.0,no
294,1,24.0,3.0,no
295,1,29.69911764705882,1.0,no
296,1,23.5,3.0,no
297,0,2.0,1.0,no
298,1,29.69911764705882,1.0,yes
299,0,50.0,1.0,yes
300,0,29.69911764705882,3.0,yes
301,1,29.69911764705882,3.0,yes
302,1,19.0,3.0,no
303,0,29.69911764705882,2.0,yes
304,1,29.69911764705882,3.0,no
305,1,0.92,1.0,yes
306,0,29.69911764705882,1.0,yes
307,0,17.0,1.0,yes
308,1,30.0,2.0,no
309,0,30.0,1.0,yes
310,0,24.0,1.0,yes
311,0,18.0,1.0,yes
312,0,26.0,2.0,no
313,1,28.0,3.0,no
314,1,43.0,2.0,no
315,0,26.0,3.0,yes
316,0,24.0,2.0,yes
317,1,54.0,2.0,no
318,0,31.0,1.0,yes
319,0,40.0,1.0,yes
320,1,22.0,3.0,no
321,1,27.0,3.0,no
322,0,30.0,2.0,yes
323,0,22.0,2.0,yes
324,1,29.69911764705882,3.0,no
325,0,36.0,1.0,yes
326,1,61.0,3.0,no
327,0,36.0,2.0,yes
328,0,31.0,3.0,yes
329,0,16.0,1.0,yes
330,0,29.69911764705882,3.0,yes
331,1,45.5,1.0,no
332,1,38.0,1.0,no
333,1,16.0,3.0,no
334,0,29.69911764705882,1.0,yes
335,1,29.69911764705882,3.0,no
336,1,29.0,1.0,no
337,0,41.0,1.0,yes
338,1,45.0,3.0,yes
339,1,45.0,1.0,no
340,1,2.0,2.0,yes
341,0,24.0,1.0,yes
342,1,28.0,2.0,no
343,1,25.0,2.0,no
344,1,36.0,2.0,no
345,0,24.0,2.0,yes
346,0,40.0,2.0,yes
347,0,29.69911764705882,3.0,yes
348,1,3.0,3.0,yes
349,1,42.0,3.0,no
350,1,23.0,3.0,no
351,1,29.69911764705882,1.0,no
352,1,15.0,3.0,no
353,1,25.0,3.0,no
354,1,29.69911764705882,3.0,no
355,1,28.0,3.0,no
356,0,22.0,1.0,yes
357,0,38.0,2.0,no
358,0,29.69911764705882,3.0,yes
359,0,29.69911764705882,3.0,yes
360,1,40.0,3.0,no
361,1,29.0,2.0,no
362,0,45.0,3.0,no
363,1,35.0,3.0,no
364,1,29.69911764705882,3.0,no
365,1,30.0,3.0,no
366,0,60.0,1.0,yes
367,0,29.69911764705882,3.0,yes
368,0,29.69911764705882,3.0,yes
369,0,24.0,1.0,yes
370,1,25.0,1.0,yes
371,1,18.0,3.0,no
372,1,19.0,3.0,no
373,1,22.0,1.0,no
374,0,3.0,3.0,no
375,0,29.69911764705882,1.0,yes
376,0,22.0,3.0,yes
377,1,27.0,1.0,no
378,1,20.0,3.0,no
379,1,19.0,3.0,no
380,0,42.0,1.0,yes
381,0,1.0,3.0,yes
382,1,32.0,3.0,no
383,0,35.0,1.0,yes
384,1,29.69911764705882,3.0,no
385,1,18.0,2.0,no
386,1,1.0,3.0,no
387,0,36.0,2.0,yes
388,1,29.69911764705882,3.0,no
389,0,17.0,2.0,yes
390,1,36.0,1.0,yes
391,1,21.0,3.0,yes
392,1,28.0,3.0,no
393,0,23.0,1.0,yes
394,0,24.0,3.0,yes
395,1,22.0,3.0,no
396,0,31.0,3.0,no
397,1,46.0,2.0,no
398,1,23.0,2.0,no
399,0,28.0,2.0,yes
400,1,39.0,3.0,yes
401,1,26.0,3.0,no
402,0,21.0,3.0,no
403,1,28.0,3.0,no
404,0,20.0,3.0,no
405,1,34.0,2.0,no
406,1,51.0,3.0,no
407,1,3.0,2.0,yes
408,1,21.0,3.0,no
409,0,29.69911764705882,3.0,no
410,1,29.69911764705882,3.0,no
411,1,29.69911764705882,3.0,no
412,0,33.0,1.0,yes
413,1,29.69911764705882,2.0,no
414,1,44.0,3.0,yes
415,0,29.69911764705882,3.0,no
416,0,34.0,2.0,yes
417,0,18.0,2.0,yes
418,1,30.0,2.0,no
419,0,10.0,3.0,no
420,1,29.69911764705882,3.0,no
421,1,21.0,3.0,no
422,1,29.0,3.0,no
423,0,28.0,3.0,no
424,1,18.0,3.0,no
425,1,29.69911764705882,3.0,no
426,0,28.0,2.0,yes
427,0,19.0,2.0,yes
428,1,29.69911764705882,3.0,no
429,1,32.0,3.0,yes
430,1,28.0,1.0,yes
431,0,29.69911764705882,3.0,yes
432,0,42.0,2.0,yes
433,1,17.0,3.0,no
434,1,50.0,1.0,no
435,0,14.0,1.0,yes
436,0,21.0,3.0,no
437,0,24.0,2.0,yes
438,1,64.0,1.0,no
439,1,31.0,2.0,no
440,0,45.0,2.0,yes
441,1,20.0,3.0,no
442,1,25.0,3.0,no
443,0,28.0,2.0,yes
444,1,29.69911764705882,3.0,yes
445,1,4.0,1.0,yes
446,0,13.0,2.0,yes
447,1,34.0,1.0,yes
448,0,5.0,3.0,yes
449,1,52.0,1.0,yes
450,1,36.0,2.0,no
451,1,29.69911764705882,3.0,no
452,1,30.0,1.0,no
453,1,49.0,1.0,yes
454,1,29.69911764705882,3.0,no
455,1,29.0,3.0,yes
456,1,65.0,1.0,no
457,0,29.69911764705882,1.0,yes
458,0,50.0,2.0,yes
459,1,29.69911764705882,3.0,no
460,1,48.0,1.0,yes
461,1,34.0,3.0,no
462,1,47.0,1.0,no
463,1,48.0,2.0,no
464,1,29.69911764705882,3.0,no
465,1,38.0,3.0,no
466,1,29.69911764705882,2.0,no
467,1,56.0,1.0,no
468,1,29.69911764705882,3.0,no
469,0,0.75,3.0,yes
470,1,29.69911764705882,3.0,no
471,1,38.0,3.0,no
472,0,33.0,2.0,yes
473,0,23.0,2.0,yes
474,0,22.0,3.0,no
475,1,29.69911764705882,1.0,no
476,1,34.0,2.0,no
477,1,29.0,3.0,no
478,1,22.0,3.0,no
479,0,2.0,3.0,yes
480,1,9.0,3.0,no
481,1,29.69911764705882,2.0,no
482,1,50.0,3.0,no
483,0,63.0,3.0,yes
484,1,25.0,1.0,yes
485,0,29.69911764705882,3.0,no
486,0,35.0,1.0,yes
487,1,58.0,1.0,no
488,1,30.0,3.0,no
489,1,9.0,3.0,yes
490,1,29.69911764705882,3.0,no
491,1,21.0,3.0,no
492,1,55.0,1.0,no
493,1,71.0,1.0,no
494,1,21.0,3.0,no
495,1,29.69911764705882,3.0,no
496,0,54.0,1.0,yes
497,1,29.69911764705882,3.0,no
498,0,25.0,1.0,no
499,1,24.0,3.0,no
500,1,17.0,3.0,no
501,0,21.0,3.0,no
502,0,29.69911764705882,3.0,no
503,0,37.0,3.0,no
504,0,16.0,1.0,yes
505,1,18.0,1.0,no
506,0,33.0,2.0,yes
507,1,29.69911764705882,1.0,yes
508,1,28.0,3.0,no
509,1,26.0,3.0,yes
510,1,29.0,3.0,yes
511,1,29.69911764705882,3.0,no
512,1,36.0,1.0,yes
513,0,54.0,1.0,yes
514,1,24.0,3.0,no
515,1,47.0,1.0,no
516,0,34.0,2.0,yes
517,1,29.69911764705882,3.0,no
518,0,36.0,2.0,yes
519,1,32.0,3.0,no
520,0,30.0,1.0,yes
521,1,22.0,3.0,no
522,1,29.69911764705882,3.0,no
523,0,44.0,1.0,yes
524,1,29.69911764705882,3.0,no
525,1,40.5,3.0,no
526,0,50.0,2.0,yes
527,1,29.69911764705882,1.0,no
528,1,39.0,3.0,no
529,1,23.0,2.0,no
530,0,2.0,2.0,yes
531,1,29.69911764705882,3.0,no
532,1,17.0,3.0,no
533,0,29.69911764705882,3.0,yes
534,0,30.0,3.0,no
535,0,7.0,2.0,yes
536,1,45.0,1.0,no
537,0,30.0,1.0,yes
538,1,29.69911764705882,3.0,no
539,0,22.0,1.0,yes
540,0,36.0,1.0,yes
541,0,9.0,3.0,no
542,0,11.0,3.0,no
543,1,32.0,2.0,yes
544,1,50.0,1.0,no
545,1,64.0,1.0,no
546,0,19.0,2.0,yes
547,1,29.69911764705882,2.0,yes
548,1,33.0,3.0,no
549,1,8.0,2.0,yes
550,1,17.0,1.0,yes
551,1,27.0,2.0,no
552,1,29.69911764705882,3.0,no
553,1,22.0,3.0,yes
554,0,22.0,3.0,yes
555,1,62.0,1.0,no
556,0,48.0,1.0,yes
557,1,29.69911764705882,1.0,no
558,0,39.0,1.0,yes
559,0,36.0,3.0,yes
560,1,29.69911764705882,3.0,no
561,1,40.0,3.0,no
562,1,28.0,2.0,no
563,1,29.69911764705882,3.0,no
564,0,29.69911764705882,3.0,no
565,1,24.0,3.0,no
566,1,19.0,3.0,no
567,0,29.0,3.0,no
568,1,29.69911764705882,3.0,no
569,1,32.0,3.0,yes
570,1,62.0,2.0,yes
571,0,53.0,1.0,yes
572,1,36.0,1.0,yes
573,0,29.69911764705882,3.0,yes
574,1,16.0,3.0,no
575,1,19.0,3.0,no
576,0,34.0,2.0,yes
577,0,39.0,1.0,yes
578,0,29.69911764705882,3.0,no
579,1,32.0,3.0,yes
580,0,25.0,2.0,yes
581,0,39.0,1.0,yes
582,1,54.0,2.0,no
583,1,36.0,1.0,no
584,1,29.69911764705882,3.0,no
585,0,18.0,1.0,yes
586,1,47.0,2.0,no
587,1,60.0,1.0,yes
588,1,22.0,3.0,no
589,1,29.69911764705882,3.0,no
590,1,35.0,3.0,no
591,0,52.0,1.0,yes
592,1,47.0,3.0,no
593,0,29.69911764705882,3.0,no
594,1,37.0,2.0,no
595,1,36.0,3.0,no
596,0,29.69911764705882,2.0,yes
597,1,49.0,3.0,no
598,1,29.69911764705882,3.0,no
599,1,49.0,1.0,yes
600,0,24.0,2.0,yes
601,1,29.69911764705882,3.0,no
602,1,29.69911764705882,1.0,no
603,1,44.0,3.0,no
604,1,35.0,1.0,yes
605,1,36.0,3.0,no
606,1,30.0,3.0,no
607,1,27.0,1.0,yes
608,0,22.0,2.0,yes
609,0,40.0,1.0,yes
610,0,39.0,3.0,no
611,1,29.69911764705882,3.0,no
612,0,29.69911764705882,3.0,yes
613,1,29.69911764705882,3.0,no
614,1,35.0,3.0,no
615,0,24.0,2.0,yes
616,1,34.0,3.0,no
617,0,26.0,3.0,no
618,0,4.0,2.0,yes
619,1,26.0,2.0,no
620,1,27.0,3.0,no
621,1,42.0,1.0,yes
622,1,20.0,3.0,yes
623,1,21.0,3.0,no
624,1,21.0,3.0,no
625,1,61.0,1.0,no
626,1,57.0,2.0,no
627,0,21.0,1.0,yes
628,1,26.0,3.0,no
629,1,29.69911764705882,3.0,no
630,1,80.0,1.0,yes
631,1,51.0,3.0,no
632,1,32.0,1.0,yes
633,1,29.69911764705882,1.0,no
634,0,9.0,3.0,no
635,0,28.0,2.0,yes
636,1,32.0,3.0,no
637,1,31.0,2.0,no
638,0,41.0,3.0,no
639,1,29.69911764705882,3.0,no
640,1,20.0,3.0,no
641,0,24.0,1.0,yes
642,0,2.0,3.0,no
643,1,29.69911764705882,3.0,yes
644,0,0.75,3.0,yes
645,1,48.0,1.0,yes
646,1,19.0,3.0,no
647,1,56.0,1.0,yes
648,1,29.69911764705882,3.0,no
649,0,23.0,3.0,yes
650,1,29.69911764705882,3.0,no
651,0,18.0,2.0,yes
652,1,21.0,3.0,no
653,0,29.69911764705882,3.0,yes
654,0,18.0,3.0,no
655,1,24.0,2.0,no
656,1,29.69911764705882,3.0,no
657,0,32.0,3.0,no
658,1,23.0,2.0,no
659,1,58.0,1.0,no
660,1,50.0,1.0,yes
661,1,40.0,3.0,no
662,1,47.0,1.0,no
663,1,36.0,3.0,no
664,1,20.0,3.0,yes
665,1,32.0,2.0,no
666,1,25.0,2.0,no
667,1,29.69911764705882,3.0,no
668,1,43.0,3.0,no
669,0,29.69911764705882,1.0,yes
670,0,40.0,2.0,yes
671,1,31.0,1.0,no
672,1,70.0,2.0,no
673,1,31.0,2.0,yes
674,1,29.69911764705882,2.0,no
675,1,18.0,3.0,no
676,1,24.5,3.0,no
677,0,18.0,3.0,yes
678,0,43.0,3.0,no
679,1,36.0,1.0,yes
680,0,29.69911764705882,3.0,no
681,1,27.0,1.0,yes
682,1,20.0,3.0,no
683,1,14.0,3.0,no
684,1,60.0,2.0,no
685,1,25.0,2.0,no
686,1,14.0,3.0,no
687,1,19.0,3.0,no
688,1,18.0,3.0,no
689,0,15.0,1.0,yes
690,1,31.0,1.0,yes
691,0,4.0,3.0,yes
692,1,29.69911764705882,3.0,yes
693,1,25.0,3.0,no
694,1,60.0,1.0,no
695,1,52.0,2.0,no
696,1,44.0,3.0,no
697,0,29.69911764705882,3.0,yes
698,1,49.0,1.0,no
699,1,42.0,3.0,no
700,0,18.0,1.0,yes
701,1,35.0,1.0,yes
702,0,18.0,3.0,no
703,1,25.0,3.0,no
704,1,26.0,3.0,no
705,1,39.0,2.0,no
706,0,45.0,2.0,yes
707,1,42.0,1.0,yes
708,0,22.0,1.0,yes
709,1,29.69911764705882,3.0,yes
710,0,24.0,1.0,yes
711,1,29.69911764705882,1.0,no
712,1,48.0,1.0,yes
713,1,29.0,3.0,no
714,1,52.0,2.0,no
715,1,19.0,3.0,no
716,0,38.0,1.0,yes
717,0,27.0,2.0,yes
718,1,29.69911764705882,3.0,no
719,1,33.0,3.0,no
720,0,6.0,2.0,yes
721,1,17.0,3.0,no
722,1,34.0,2.0,no
723,1,50.0,2.0,no
724,1,27.0,1.0,yes
725,1,20.0,3.0,no
726,0,30.0,2.0,yes
727,0,29.69911764705882,3.0,yes
728,1,25.0,2.0,no
729,0,25.0,3.0,no
730,0,29.0,1.0,yes
731,1,11.0,3.0,no
732,1,29.69911764705882,2.0,no
733,1,23.0,2.0,no
734,1,23.0,2.0,no
735,1,28.5,3.0,no
736,0,48.0,3.0,no
737,1,35.0,1.0,yes
738,1,29.69911764705882,3.0,no
739,1,29.69911764705882,3.0,no
740,1,29.69911764705882,1.0,yes
741,1,36.0,1.0,no
742,0,21.0,1.0,yes
743,1,24.0,3.0,no
744,1,31.0,3.0,yes
745,1,70.0,1.0,no
746,1,16.0,3.0,no
747,0,30.0,2.0,yes
748,1,19.0,1.0,no
749,1,31.0,3.0,no
750,0,4.0,2.0,yes
751,1,6.0,3.0,yes
752,1,33.0,3.0,no
753,1,23.0,3.0,no
754,0,48.0,2.0,yes
755,1,0.67,2.0,yes
756,1,28.0,3.0,no
757,1,18.0,2.0,no
758,1,34.0,3.0,no
759,0,33.0,1.0,yes
760,1,29.69911764705882,3.0,no
761,1,41.0,3.0,no
762,1,20.0,3.0,yes
763,0,36.0,1.0,yes
764,1,16.0,3.0,no
765,0,51.0,1.0,yes
766,1,29.69911764705882,1.0,no
767,0,30.5,3.0,no
768,1,29.69911764705882,3.0,no
769,1,32.0,3.0,no
770,1,24.0,3.0,no
771,1,48.0,3.0,no
772,0,57.0,2.0,no
773,1,29.69911764705882,3.0,no
774,0,54.0,2.0,yes
775,1,18.0,3.0,no
776,1,29.69911764705882,3.0,no
777,0,5.0,3.0,yes
778,1,29.69911764705882,3.0,no
779,0,43.0,1.0,yes
780,0,13.0,3.0,yes
781,0,17.0,1.0,yes
782,1,29.0,1.0,no
783,1,29.69911764705882,3.0,no
784,1,25.0,3.0,no
785,1,25.0,3.0,no
786,0,18.0,3.0,yes
787,1,8.0,3.0,no
788,1,1.0,3.0,yes
789,1,46.0,1.0,no
790,1,29.69911764705882,3.0,no
791,1,16.0,2.0,no
792,0,29.69911764705882,3.0,no
793,1,29.69911764705882,1.0,no
794,1,25.0,3.0,no
795,1,39.0,2.0,no
796,0,49.0,1.0,yes
797,0,31.0,3.0,yes
798,1,30.0,3.0,no
799,0,30.0,3.0,no
800,1,34.0,2.0,no
801,0,31.0,2.0,yes
802,1,11.0,1.0,yes
803,1,0.42,3.0,yes
804,1,27.0,3.0,yes
805,1,31.0,3.0,no
806,1,39.0,1.0,no
807,0,18.0,3.0,no
808,1,39.0,2.0,no
809,0,33.0,1.0,yes
810,1,26.0,3.0,no
811,1,39.0,3.0,no
812,1,35.0,2.0,no
813,0,6.0,3.0,no
814,1,30.5,3.0,no
815,1,29.69911764705882,1.0,no
816,0,23.0,3.0,no
817,1,31.0,2.0,no
818,1,43.0,3.0,no
819,1,10.0,3.0,no
820,0,52.0,1.0,yes
821,1,27.0,3.0,yes
822,1,38.0,1.0,no
823,0,27.0,3.0,yes
824,1,2.0,3.0,no
825,1,29.69911764705882,3.0,no
826,1,29.69911764705882,3.0,no
827,1,1.0,2.0,yes
828,1,29.69911764705882,3.0,yes
829,0,62.0,1.0,yes
830,0,15.0,3.0,yes
831,1,0.83,2.0,yes
832,1,29.69911764705882,3.0,no
833,1,23.0,3.0,no
834,1,18.0,3.0,no
835,0,39.0,1.0,yes
836,1,21.0,3.0,no
837,1,29.69911764705882,3.0,no
838,1,32.0,3.0,yes
839,1,29.69911764705882,1.0,yes
840,1,20.0,3.0,no
841,1,16.0,2.0,no
842,0,30.0,1.0,yes
843,1,34.5,3.0,no
844,1,17.0,3.0,no
845,1,42.0,3.0,no
846,1,29.69911764705882,3.0,no
847,1,35.0,3.0,no
848,1,28.0,2.0,no
849,0,29.69911764705882,1.0,yes
850,1,4.0,3.0,no
851,1,74.0,3.0,no
852,0,9.0,3.0,no
853,0,16.0,1.0,yes
854,0,44.0,2.0,no
855,0,18.0,3.0,yes
856,0,45.0,1.0,yes
857,1,51.0,1.0,yes
858,0,24.0,3.0,yes
859,1,29.69911764705882,3.0,no
860,1,41.0,3.0,no
861,1,21.0,2.0,no
862,0,48.0,1.0,yes
863,0,29.69911764705882,3.0,no
864,1,24.0,2.0,no
865,0,42.0,2.0,yes
866,0,27.0,2.0,yes
867,1,31.0,1.0,no
868,1,29.69911764705882,3.0,no
869,1,4.0,3.0,yes
870,1,26.0,3.0,no
871,0,47.0,1.0,yes
872,1,33.0,1.0,no
873,1,47.0,3.0,no
874,0,28.0,2.0,yes
875,0,15.0,3.0,yes
876,1,20.0,3.0,no
877,1,19.0,3.0,no
878,1,29.69911764705882,3.0,no
879,0,56.0,1.0,yes
880,0,25.0,2.0,yes
881,1,33.0,3.0,no
882,0,22.0,3.0,no
883,1,28.0,2.0,no
884,1,25.0,3.0,no
885,0,39.0,3.0,no
886,1,27.0,2.0,no
887,0,19.0,1.0,yes
888,0,29.69911764705882,3.0,no
889,1,26.0,1.0,yes
890,1,32.0,3.0,no
